model,macro_f1,micro_f1,per_label_f1,per_label_precision,per_label_recall,per_label_support,method,hamming_loss,conf_matrices
LogisticRegression,0.625165227,0.664748954,[0.71381424 0.55140187 0.68154762 0.55389718],[0.7054986  0.43542435 0.5768262  0.42602041],[0.72232824 0.75159236 0.83272727 0.79146919],[1048  157  275  211],bow_1000,0.124562767,"[array([[1209,  316],
       [ 291,  757]]), array([[2263,  153],
       [  39,  118]]), array([[2130,  168],
       [  46,  229]]), array([[2137,  225],
       [  44,  167]])]"
LinearSVM,0.614461369,0.65648855,[0.70896947 0.52752294 0.68072289 0.54063018],[0.70896947 0.41218638 0.58097686 0.41581633],[0.70896947 0.73248408 0.82181818 0.77251185],[1048  157  275  211],bow_1000,0.126797513,"[array([[1220,  305],
       [ 305,  743]]), array([[2252,  164],
       [  42,  115]]), array([[2135,  163],
       [  49,  226]]), array([[2133,  229],
       [  48,  163]])]"
SGDClassifier,0.625769974,0.670148864,[0.72415392 0.55299539 0.67575758 0.55017301],[0.70423805 0.433213   0.57922078 0.43324251],[0.74522901 0.76433121 0.81090909 0.7535545 ],[1048  157  275  211],bow_1000,0.122716673,"[array([[1197,  328],
       [ 267,  781]]), array([[2259,  157],
       [  37,  120]]), array([[2136,  162],
       [  52,  223]]), array([[2154,  208],
       [  52,  159]])]"
MultinomialNB,0.577135714,0.629036493,[0.69361507 0.50934579 0.56973294 0.53584906],[0.66873339 0.40221402 0.48120301 0.44514107],[0.72041985 0.69426752 0.69818182 0.67298578],[1048  157  275  211],bow_1000,0.1372911,"[array([[1151,  374],
       [ 293,  755]]), array([[2254,  162],
       [  48,  109]]), array([[2091,  207],
       [  83,  192]]), array([[2185,  177],
       [  69,  142]])]"
NeuralNetwork,0.667707001,0.670306339,[0.66760563 0.64028777 0.71541502 0.64751958],[0.65711645 0.73553719 0.78354978 0.72093023],[0.67843511 0.56687898 0.65818182 0.58767773],[1048  157  275  211],bow_1000,0.105616012,"[array([[1154,  371],
       [ 337,  711]]), array([[2384,   32],
       [  68,   89]]), array([[2248,   50],
       [  94,  181]]), array([[2314,   48],
       [  87,  124]])]"
LogisticRegression,0.646210643,0.675550721,[0.70417253 0.57653061 0.71895425 0.58518519],[0.6921659  0.48085106 0.65281899 0.48024316],[0.71660305 0.71974522 0.8        0.74881517],[1048  157  275  211],bow_3000,0.115915274,"[array([[1191,  334],
       [ 297,  751]]), array([[2294,  122],
       [  44,  113]]), array([[2181,  117],
       [  55,  220]]), array([[2191,  171],
       [  53,  158]])]"
LinearSVM,0.593991492,0.640850832,[0.69354839 0.51948052 0.65384615 0.50909091],[0.68962264 0.43859649 0.58452722 0.41297935],[0.69751908 0.63694268 0.74181818 0.66350711],[1048  157  275  211],bow_3000,0.127963467,"[array([[1196,  329],
       [ 317,  731]]), array([[2288,  128],
       [  57,  100]]), array([[2153,  145],
       [  71,  204]]), array([[2163,  199],
       [  71,  140]])]"
SGDClassifier,0.645756546,0.679286101,[0.71520737 0.60724234 0.6944     0.56617647],[0.6916221  0.53960396 0.62       0.46246246],[0.74045802 0.69426752 0.78909091 0.72985782],[1048  157  275  211],bow_3000,0.115235134,"[array([[1179,  346],
       [ 272,  776]]), array([[2323,   93],
       [  48,  109]]), array([[2165,  133],
       [  58,  217]]), array([[2183,  179],
       [  57,  154]])]"
MultinomialNB,0.568886031,0.631926792,[0.71538811 0.48648649 0.55788006 0.51578947],[0.68225108 0.37630662 0.45248869 0.40947075],[0.7519084  0.68789809 0.72727273 0.69668246],[1048  157  275  211],bow_3000,0.140691799,"[array([[1158,  367],
       [ 260,  788]]), array([[2237,  179],
       [  49,  108]]), array([[2056,  242],
       [  75,  200]]), array([[2150,  212],
       [  64,  147]])]"
NeuralNetwork,0.659555098,0.671060515,[0.67858824 0.6366782  0.68173258 0.64122137],[0.66945218 0.6969697  0.70703125 0.69230769],[0.6879771  0.58598726 0.65818182 0.5971564 ],[1048  157  275  211],bow_3000,0.106684804,"[array([[1169,  356],
       [ 327,  721]]), array([[2376,   40],
       [  65,   92]]), array([[2223,   75],
       [  94,  181]]), array([[2306,   56],
       [  85,  126]])]"
LogisticRegression,0.662529722,0.684788578,[0.70527791 0.61662198 0.72516556 0.60305344],[0.69075938 0.53240741 0.6656535  0.50479233],[0.72041985 0.73248408 0.79636364 0.74881517],[1048  157  275  211],bow_5000,0.111542946,"[array([[1187,  338],
       [ 293,  755]]), array([[2315,  101],
       [  42,  115]]), array([[2188,  110],
       [  56,  219]]), array([[2207,  155],
       [  53,  158]])]"
LinearSVM,0.60677768,0.639467111,[0.6720151  0.54742547 0.6722973  0.53537285],[0.66479925 0.47641509 0.62776025 0.44871795],[0.67938931 0.6433121  0.72363636 0.66350711],[1048  157  275  211],bow_5000,0.126214536,"[array([[1166,  359],
       [ 336,  712]]), array([[2305,  111],
       [  56,  101]]), array([[2180,  118],
       [  76,  199]]), array([[2190,  172],
       [  71,  140]])]"
SGDClassifier,0.637695334,0.657410031,[0.67860697 0.61202186 0.69354839 0.56660413],[0.70893971 0.53588517 0.62318841 0.4689441 ],[0.65076336 0.7133758  0.78181818 0.71563981],[1048  157  275  211],bow_5000,0.11746988,"[array([[1245,  280],
       [ 366,  682]]), array([[2319,   97],
       [  45,  112]]), array([[2168,  130],
       [  60,  215]]), array([[2191,  171],
       [  60,  151]])]"
MultinomialNB,0.564484681,0.626354245,[0.70726207 0.48471616 0.57300275 0.49295775],[0.67065868 0.36877076 0.46119734 0.39215686],[0.7480916  0.70700637 0.75636364 0.66350711],[1048  157  275  211],bow_5000,0.144092499,"[array([[1140,  385],
       [ 264,  784]]), array([[2226,  190],
       [  46,  111]]), array([[2055,  243],
       [  67,  208]]), array([[2145,  217],
       [  71,  140]])]"
NeuralNetwork,0.646803651,0.670530811,[0.68762089 0.6119403  0.69056604 0.59708738],[0.69705882 0.73873874 0.71764706 0.6119403 ],[0.67843511 0.52229299 0.66545455 0.58293839],[1048  157  275  211],bow_5000,0.104935873,"[array([[1216,  309],
       [ 337,  711]]), array([[2387,   29],
       [  75,   82]]), array([[2226,   72],
       [  92,  183]]), array([[2284,   78],
       [  88,  123]])]"
LogisticRegression,0.653580098,0.684306096,[0.72242647 0.60952381 0.7244582  0.55791191],[0.69680851 0.48669202 0.63072776 0.42537313],[0.75       0.81528662 0.85090909 0.81042654],[1048  157  275  211],tfidf_1000,0.118247182,"[array([[1183,  342],
       [ 262,  786]]), array([[2281,  135],
       [  29,  128]]), array([[2161,  137],
       [  41,  234]]), array([[2131,  231],
       [  40,  171]])]"
LinearSVM,0.627543908,0.668036999,[0.72037037 0.55656109 0.6918429  0.54140127],[0.69964029 0.43157895 0.59173127 0.40767386],[0.74236641 0.78343949 0.83272727 0.8056872 ],[1048  157  275  211],tfidf_1000,0.125534396,"[array([[1191,  334],
       [ 270,  778]]), array([[2254,  162],
       [  34,  123]]), array([[2140,  158],
       [  46,  229]]), array([[2115,  247],
       [  41,  170]])]"
SGDClassifier,0.672767539,0.694742489,[0.71909048 0.61870504 0.76143791 0.59183673],[0.71401693 0.49615385 0.69139466 0.46153846],[0.72423664 0.82165605 0.84727273 0.82464455],[1048  157  275  211],tfidf_1000,0.110571318,"[array([[1221,  304],
       [ 289,  759]]), array([[2285,  131],
       [  28,  129]]), array([[2194,  104],
       [  42,  233]]), array([[2159,  203],
       [  37,  174]])]"
MultinomialNB,0.390299549,0.565955909,[0.6653082  0.19428571 0.39572193 0.30588235],[0.7136612  0.94444444 0.74747475 0.88636364],[0.6230916  0.10828025 0.26909091 0.18483412],[1048  157  275  211],tfidf_1000,0.116692577,"[array([[1263,  262],
       [ 395,  653]]), array([[2415,    1],
       [ 140,   17]]), array([[2273,   25],
       [ 201,   74]]), array([[2357,    5],
       [ 172,   39]])]"
NeuralNetwork,0.657370769,0.676325524,[0.68847795 0.64       0.69879518 0.60220994],[0.68426013 0.74576271 0.78026906 0.7218543 ],[0.69274809 0.56050955 0.63272727 0.51658768],[1048  157  275  211],tfidf_1000,0.102020987,"[array([[1190,  335],
       [ 322,  726]]), array([[2386,   30],
       [  69,   88]]), array([[2249,   49],
       [ 101,  174]]), array([[2320,   42],
       [ 102,  109]])]"
